#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,hPa,degC,degC,degC,nmi,ft
2020,8,1,16,40,999,3.9,4.8,0.6,4.76,4.14,137,1016.2,999,29.3,999,99,99
2020,8,1,16,50,999,4,5,99,99,99,999,1016.1,999,29.3,999,99,99
2020,8,1,17,0,999,4.3,5,99,99,99,999,1016,999,29.3,999,99,99
2020,8,1,17,10,999,4,5,99,99,99,999,1016.1,999,29.4,999,99,99
2020,8,1,17,20,999,4.1,5.6,99,99,99,999,1016,999,29.3,999,99,99
2020,8,1,17,30,999,4.5,5.6,99,99,99,999,1015.9,999,29.4,999,99,99
2020,8,1,17,40,999,4.2,5.1,0.59,5.88,4.27,134,1015.8,999,29.4,999,99,99
2020,8,1,17,50,999,4,4.9,99,99,99,999,1015.9,999,29.4,999,99,99
2020,8,1,18,0,999,3.9,4.8,99,99,99,999,1015.8,999,29.4,999,99,99
2020,8,1,18,10,999,3.9,5,99,99,99,999,1015.8,999,29.5,999,99,99
2020,8,1,18,20,999,3.9,5,99,99,99,999,1015.7,999,29.5,999,99,99
2020,8,1,18,30,999,3.6,4.3,99,99,99,999,1015.6,999,29.5,999,99,99
2020,8,1,18,40,999,3.6,4.2,0.57,5.56,4.19,107,1015.5,999,29.5,999,99,99
2020,8,1,18,50,999,3.8,4.7,99,99,99,999,1015.4,999,29.5,999,99,99
2020,8,1,19,0,999,3.7,5.1,99,99,99,999,1015.4,999,29.5,999,99,99
2020,8,1,19,10,999,3.5,4.4,99,99,99,999,1015.3,999,29.6,999,99,99
2020,8,1,19,20,999,3.6,4.3,99,99,99,999,1015,999,29.5,999,99,99
2020,8,1,19,30,999,3.5,4.4,99,99,99,999,1015,999,29.6,999,99,99
2020,8,1,19,40,999,3.4,4.2,0.57,5.56,4.21,133,1014.9,999,29.6,999,99,99
2020,8,1,19,50,999,3.8,4.8,99,99,99,999,1014.8,999,29.6,999,99,99
2020,8,1,20,0,999,3.5,4.4,99,99,99,999,1014.7,999,29.6,999,99,99
2020,8,1,20,10,999,3.3,4.1,99,99,99,999,1014.5,999,29.6,999,99,99
2020,8,1,20,20,999,3.5,4.4,99,99,99,999,1014.6,999,29.6,999,99,99
2020,8,1,20,30,999,3.6,4.5,99,99,99,999,1014.6,999,29.6,999,99,99
2020,8,1,20,40,999,4.1,5,0.59,5.56,4.47,128,1014.5,999,29.6,999,99,99
2020,8,1,20,50,999,3.8,4.9,99,99,99,999,1014.5,999,29.6,999,99,99
2020,8,1,21,0,999,4.1,5.1,99,99,99,999,1014.4,999,29.6,999,99,99
2020,8,1,21,10,999,4,5.2,99,99,99,999,1014.4,999,29.7,999,99,99
2020,8,1,21,20,999,4,4.9,99,99,99,999,1014.4,999,29.6,999,99,99
2020,8,1,21,30,999,3.8,4.8,99,99,99,999,1014.3,999,29.7,999,99,99
2020,8,1,21,40,999,3.8,5,0.59,5.88,4.5,120,1014.1,999,29.7,999,99,99
2020,8,1,21,50,999,3.8,4.7,99,99,99,999,1014.2,999,29.7,999,99,99
2020,8,1,22,0,999,4.1,5.1,99,99,99,999,1014.1,999,999,999,99,99
2020,8,1,22,10,999,3.9,4.9,99,99,99,999,1014.1,999,29.7,999,99,99
2020,8,1,22,20,999,4,5,99,99,99,999,1014.2,999,29.7,999,99,99
2020,8,1,22,30,999,4.3,5.3,99,99,99,999,1014.1,999,29.7,999,99,99
2020,8,1,22,40,999,4.5,5.6,0.56,5.56,4.6,127,1014.1,999,29.7,999,99,99
2020,8,1,22,50,999,4.5,5.6,99,99,99,999,1014.1,999,29.6,999,99,99
2020,8,1,23,0,999,4.4,5.5,99,99,99,999,1014.1,999,29.6,999,99,99
2020,8,1,23,10,999,4.7,5.8,99,99,99,999,1014.2,999,29.6,999,99,99
2020,8,1,23,20,999,4.6,5.6,99,99,99,999,1014.2,999,29.6,999,99,99
2020,8,1,23,30,999,4.6,5.6,99,99,99,999,1014.2,999,29.6,999,99,99
2020,8,1,23,40,999,4.5,5.4,0.6,5.56,4.56,137,1014.1,999,29.6,999,99,99
2020,8,1,23,50,999,4.5,5.5,99,99,99,999,1014.1,999,29.6,999,99,99
2020,8,2,0,0,999,4.4,5.4,99,99,99,999,1014.1,999,29.5,999,99,99
2020,8,2,0,10,999,4.8,5.8,99,99,99,999,1014,999,29.5,999,99,99
2020,8,2,0,20,999,4.7,5.6,99,99,99,999,1014,999,29.5,999,99,99
2020,8,2,0,30,999,4.9,5.7,99,99,99,999,1014,999,29.5,999,99,99
2020,8,2,0,40,999,4.6,5.4,0.64,5.88,4.46,137,1014.1,999,29.5,999,99,99
2020,8,2,0,50,999,4.9,6,99,99,99,999,1014.2,999,29.5,999,99,99
2020,8,2,1,0,999,5.3,6.4,99,99,99,999,1014.1,999,29.5,999,99,99
2020,8,2,1,10,999,5.3,6.4,99,99,99,999,1014.3,999,29.5,999,99,99
2020,8,2,1,20,999,5.2,6.8,99,99,99,999,1014.4,999,29.5,999,99,99
2020,8,2,1,30,999,5,6.3,99,99,99,999,1014.4,999,29.5,999,99,99
2020,8,2,1,40,999,5,5.9,0.64,5.56,4.36,125,1014.5,999,29.5,999,99,99
2020,8,2,1,50,999,5.3,6.6,99,99,99,999,1014.6,999,29.5,999,99,99
2020,8,2,2,0,999,5.4,6.6,99,99,99,999,1014.7,999,29.5,999,99,99
2020,8,2,2,10,999,5.6,6.9,99,99,99,999,1014.9,999,29.5,999,99,99
2020,8,2,2,20,999,5.5,7.5,99,99,99,999,1014.9,999,29.5,999,99,99
2020,8,2,2,30,999,5.4,6.9,99,99,99,999,1014.9,999,29.5,999,99,99
